
input frame records: 59990
embedding missing files:  0
total matches:  190
         1782792 function calls (1754950 primitive calls) in 6.108 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       88    0.000    0.000    0.001    0.000 _script.py:898(<lambda>)
       71    0.000    0.000    0.001    0.000 inference.py:394(is_dataclass)
      200    0.001    0.000    0.001    0.000 :0(find_class)
        1    0.000    0.000    0.001    0.001 zipfile.py:1(<module>)
       71    0.000    0.000    0.001    0.000 _methods.py:54(_any)
        1    0.000    0.000    0.001    0.001 numbers.py:4(<module>)
        4    0.000    0.000    0.001    0.000 typing.py:1955(<dictcomp>)
       81    0.000    0.000    0.001    0.000 _pytree.py:39(_register_pytree_node)
        1    0.000    0.000    0.001    0.001 upsampling.py:1(<module>)
      3/2    0.000    0.000    0.001    0.000 posixpath.py:397(_joinrealpath)
       89    0.000    0.000    0.001    0.000 pathlib.py:715(_from_parsed_parts)
       22    0.000    0.000    0.001    0.000 std.py:342(fp_write)
        1    0.000    0.000    0.001    0.001 tokens.py:2(<module>)
        1    0.000    0.000    0.001    0.001 eh.py:1(<module>)
        1    0.000    0.000    0.001    0.001 controlflow.py:1(<module>)
        5    0.000    0.000    0.001    0.000 enum.py:928(_missing_)
        1    0.000    0.000    0.001    0.001 __init__.py:158(_try_enable_svml)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1575(_array_str_implementation)
      977    0.001    0.000    0.001    0.000 base.py:5131(_values)
        1    0.000    0.000    0.001    0.001 parameter.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _recursive.py:332(ConcreteTypeStore)
        1    0.000    0.000    0.001    0.001 unicode_support.py:59(_PyUnicode_TyperecordMasks)
        1    0.000    0.000    0.001    0.001 iter.py:1(<module>)
        1    0.000    0.000    0.001    0.001 conv_fused.py:1(<module>)
        7    0.000    0.000    0.001    0.000 abstract.py:180(__getitem__)
        1    0.000    0.000    0.001    0.001 streamreader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parametrize.py:64(ParametrizationList)
       33    0.000    0.000    0.001    0.000 functools.py:852(<lambda>)
        1    0.000    0.000    0.001    0.001 generic.py:780(DataFrameGroupBy)
        1    0.000    0.000    0.001    0.001 decomp_schur.py:1(<module>)
       52    0.000    0.000    0.001    0.000 core.py:887(__init__)
        2    0.000    0.000    0.001    0.000 lazy.py:139(__new__)
       30    0.000    0.000    0.001    0.000 npyimpl.py:504(register_binary_operator_kernel)
      216    0.000    0.000    0.001    0.000 inspect.py:700(<genexpr>)
        1    0.000    0.000    0.001    0.001 fileopener.py:1(<module>)
      278    0.001    0.000    0.001    0.000 :0(unicode_tolower)
        2    0.000    0.000    0.001    0.000 error.py:2(<module>)
        1    0.000    0.000    0.001    0.001 numbers.py:518(_implement_integer_operators)
      419    0.001    0.000    0.001    0.000 :0(search)
      110    0.001    0.000    0.001    0.000 :0(close)
        4    0.000    0.000    0.001    0.000 frontend.py:791(build_BoolOp)
       86    0.000    0.000    0.001    0.000 contextlib.py:261(helper)
      150    0.001    0.000    0.001    0.000 :0(getcwd)
        1    0.000    0.000    0.001    0.001 glob_group.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sasreader.py:1(<module>)
      644    0.001    0.000    0.001    0.000 :0(encode)
      312    0.001    0.000    0.001    0.000 :0(reshape)
        5    0.000    0.000    0.001    0.000 enum.py:938(_create_pseudo_member_)
        2    0.000    0.000    0.001    0.000 streams.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tuple.py:1(<module>)
       71    0.000    0.000    0.001    0.000 construction.py:980(_validate_or_indexify_columns)
        3    0.000    0.000    0.001    0.000 codegen.py:1239(_pass_manager_builder)
       70    0.001    0.000    0.001    0.000 :0(dicts_to_array)
      191    0.000    0.000    0.001    0.000 inspect.py:81(ismethod)
        2    0.000    0.000    0.001    0.000 textwrap.py:381(fill)
        1    0.000    0.000    0.001    0.001 dylib.py:23(load_library_permanently)
        1    0.000    0.000    0.001    0.001 hashlib.py:5(<module>)
        1    0.000    0.000    0.001    0.001 _comparison.py:271(Pair)
        1    0.000    0.000    0.001    0.001 align.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
       40    0.000    0.000    0.001    0.000 dataclasses.py:612(_is_type)
        1    0.000    0.000    0.001    0.001 find_file_dependencies.py:8(_ExtractModuleReferences)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.001    0.001 tupleobj.py:1(<module>)
       18    0.000    0.000    0.001    0.000 __init__.py:1335(_fixupParents)
        5    0.000    0.000    0.001    0.000 dataclasses.py:770(_hash_add)
      314    0.000    0.000    0.001    0.000 inference.py:292(<genexpr>)
        1    0.000    0.000    0.001    0.001 grouper.py:1(<module>)
        2    0.000    0.000    0.001    0.000 textwrap.py:356(fill)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:1(<module>)
       51    0.001    0.000    0.001    0.000 :0(POINTER)
      508    0.001    0.000    0.001    0.000 base.py:871(_reset_identity)
        1    0.000    0.000    0.001    0.001 combinatorics.py:13(ShufflerMapDataPipe)
        1    0.000    0.000    0.001    0.001 base_parser.py:79(ParserBase)
        1    0.000    0.000    0.001    0.001 codegen.py:1362(_customize_tm_options)
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
       36    0.000    0.000    0.001    0.000 docstrings.py:7(make_flex_doc)
        4    0.000    0.000    0.001    0.000 frontend.py:795(<listcomp>)
       16    0.000    0.000    0.001    0.000 tokenize.py:319(read_or_stop)
        3    0.000    0.000    0.001    0.000 llvm_bindings.py:36(create_pass_manager_builder)
        8    0.000    0.000    0.001    0.000 typing.py:1192(__init_subclass__)
       14    0.000    0.000    0.001    0.000 core.py:8101(__init__)
        2    0.000    0.000    0.001    0.000 textwrap.py:342(wrap)
        2    0.000    0.000    0.001    0.000 nrtdynmod.py:111(_define_atomic_inc_dec)
      194    0.000    0.000    0.001    0.000 inspect.py:64(ismodule)
       73    0.000    0.000    0.001    0.000 range.py:173(_simple_new)
        1    0.000    0.000    0.001    0.001 codegen.py:1230(_function_pass_manager)
        6    0.000    0.000    0.001    0.000 getlimits.py:457(__new__)
        6    0.000    0.000    0.001    0.000 module.py:151(triple)
      197    0.000    0.000    0.001    0.000 warnings.py:477(__exit__)
       36    0.000    0.000    0.001    0.000 inspect.py:727(getmodule)
       87    0.000    0.000    0.001    0.000 kl.py:40(register_kl)
       59    0.000    0.000    0.001    0.000 imputils.py:55(decorate)
        1    0.000    0.000    0.001    0.001 utils.py:101(set_num_threads)
        1    0.000    0.000    0.001    0.001 tarfile.py:29(<module>)
        1    0.001    0.001    0.001    0.001 :0(_set_num_threads)
        1    0.000    0.000    0.001    0.001 sampler.py:203(BatchSampler)
        4    0.000    0.000    0.001    0.000 _script.py:266(__init__)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.001    0.001 adaptive.py:3(<module>)
        2    0.000    0.000    0.001    0.000 embedding_ops.py:1(<module>)
       48    0.000    0.000    0.001    0.000 utils.py:143(inner)
       12    0.000    0.000    0.001    0.000 npydecl.py:413(_numpy_redirect)
        5    0.000    0.000    0.001    0.000 dataclasses.py:589(_hash_fn)
      239    0.000    0.000    0.001    0.000 :0(remove)
        1    0.000    0.000    0.001    0.001 dictobject.py:60(Status)
       20    0.000    0.000    0.001    0.000 _decorators.py:169(_deprecate_kwarg)
        1    0.000    0.000    0.001    0.001 errors.py:846(<listcomp>)
      210    0.000    0.000    0.001    0.000 context.py:497(insert_attributes)
        1    0.000    0.000    0.001    0.001 type_annotations.py:1(<module>)
      141    0.000    0.000    0.001    0.000 sre_parse.py:928(fix_flags)
        1    0.000    0.000    0.001    0.001 forward_ad.py:1(<module>)
        9    0.000    0.000    0.001    0.000 api.py:75(_require_initialized)
      100    0.000    0.000    0.001    0.000 _strptime.py:234(<genexpr>)
        1    0.000    0.000    0.001    0.001 _string_helpers.py:1(<module>)
        3    0.000    0.000    0.001    0.000 sparse.py:1(<module>)
        1    0.000    0.000    0.001    0.001 interval.py:147(IntervalIndex)
        8    0.000    0.000    0.001    0.000 executionengine.py:189(_raw_object_cache_getbuffer)
        2    0.000    0.000    0.001    0.000 _strptime.py:88(__calc_month)
        4    0.000    0.000    0.001    0.000 _common.py:1(<module>)
        5    0.000    0.000    0.001    0.000 dispatcher.py:175(__init__)
        3    0.000    0.000    0.001    0.000 tokenize.py:83(_all_string_prefixes)
        1    0.000    0.000    0.001    0.001 printing.py:1(<module>)
      166    0.000    0.000    0.001    0.000 doc.py:11(create_section_header)
        1    0.000    0.000    0.001    0.001 errors.py:5(<module>)
      671    0.000    0.000    0.000    0.000 managers.py:1413(<genexpr>)
      552    0.000    0.000    0.000    0.000 ffi.py:295(detach)
      592    0.000    0.000    0.000    0.000 ffi.py:278(__init__)
        1    0.000    0.000    0.000    0.000 dlpack.py:10(DLDeviceType)
        1    0.000    0.000    0.000    0.000 protocol.py:1(<module>)
        1    0.000    0.000    0.000    0.000 package_exporter.py:66(PackagingErrorReason)
        1    0.000    0.000    0.000    0.000 pythonapi.py:1371(serialize_object)
      335    0.000    0.000    0.000    0.000 :0(fromkeys)
       50    0.000    0.000    0.000    0.000 :0(_resolve_type_from_object)
      304    0.000    0.000    0.000    0.000 managers.py:1867(__init__)
       50    0.000    0.000    0.000    0.000 config.py:742(config_prefix)
        1    0.000    0.000    0.000    0.000 rnn.py:24(RNNBase)
       14    0.000    0.000    0.000    0.000 core.py:8106(getdoc)
        1    0.000    0.000    0.000    0.000 pytables.py:4757(AppendableMultiFrameTable)
       11    0.000    0.000    0.000    0.000 dataclasses.py:358(_recursive_repr)
      554    0.000    0.000    0.000    0.000 :0(decode)
        2    0.000    0.000    0.000    0.000 dispatcher.py:705(_search_new_conversions)
       11    0.000    0.000    0.000    0.000 nanops.py:82(__call__)
      303    0.000    0.000    0.000    0.000 flags.py:85(allows_duplicate_labels)
       75    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
      265    0.000    0.000    0.000    0.000 annotations.py:197(<lambda>)
        1    0.000    0.000    0.000    0.000 adamw.py:8(AdamW)
      480    0.000    0.000    0.000    0.000 :0(ensure_object)
       16    0.000    0.000    0.000    0.000 :0(readline)
        1    0.000    0.000    0.000    0.000 _odswriter.py:1(<module>)
       18    0.000    0.000    0.000    0.000 templates.py:1302(__init__)
        1    0.000    0.000    0.000    0.000 asserters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iterate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 routeddecoder.py:17(RoutedDecoderIterDataPipe)
        5    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
        1    0.000    0.000    0.000    0.000 function_type.py:2(<module>)
        1    0.000    0.000    0.000    0.000 builtins.py:285(BitwiseShiftOperation)
      157    0.000    0.000    0.000    0.000 :0(setdefault)
      316    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
       87    0.000    0.000    0.000    0.000 :0(_get_operation_overload)
       60    0.000    0.000    0.000    0.000 typing.py:903(<genexpr>)
        7    0.000    0.000    0.000    0.000 executionengine.py:77(add_module)
      116    0.000    0.000    0.000    0.000 sre_parse.py:1066(expand_template)
       71    0.000    0.000    0.000    0.000 construction.py:525(treat_as_nested)
        1    0.000    0.000    0.000    0.000 setdecl.py:34(SetAttribute)
        2    0.000    0.000    0.000    0.000 __init__.py:1855(_make_bool_reduction_prim)
      190    0.000    0.000    0.000    0.000 :0(argmax)
        1    0.000    0.000    0.000    0.000 configparser.py:1310(ConverterMapping)
      389    0.000    0.000    0.000    0.000 :0(insert)
        1    0.000    0.000    0.000    0.000 autocast_mode.py:16(autocast)
        1    0.000    0.000    0.000    0.000 importer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wishart.py:1(<module>)
       12    0.000    0.000    0.000    0.000 values.py:69(wrap)
      200    0.000    0.000    0.000    0.000 serialization.py:949(_maybe_decode_ascii)
        1    0.000    0.000    0.000    0.000 nrtdynmod.py:138(_define_atomic_cas)
        1    0.000    0.000    0.000    0.000 combining.py:59(ZipperMapDataPipe)
        1    0.000    0.000    0.000    0.000 ssa.py:1(<module>)
       28    0.000    0.000    0.000    0.000 scalars.py:32(__init__)
        2    0.000    0.000    0.000    0.000 textwrap.py:233(_wrap_chunks)
      100    0.000    0.000    0.000    0.000 _utils.py:553(_element_size)
       21    0.000    0.000    0.000    0.000 frontend.py:781(build_UnaryOp)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
      327    0.000    0.000    0.000    0.000 :0(translate)
        1    0.000    0.000    0.000    0.000 pythonapi.py:1345(serialize_uncached)
       63    0.000    0.000    0.000    0.000 enum.py:415(__getattr__)
        5    0.000    0.000    0.000    0.000 builtins.py:163(<genexpr>)
      162    0.000    0.000    0.000    0.000 typing.py:574(__hash__)
       19    0.000    0.000    0.000    0.000 _script.py:1419(_check_directly_compile_overloaded)
       19    0.000    0.000    0.000    0.000 common.py:49(__init__)
        1    0.000    0.000    0.000    0.000 gdb_hook.py:1(<module>)
       14    0.000    0.000    0.000    0.000 library.py:88(wrap)
       90    0.000    0.000    0.000    0.000 pathlib.py:725(_format_parsed_parts)
       97    0.000    0.000    0.000    0.000 typing.py:640(<genexpr>)
        1    0.000    0.000    0.000    0.000 frontend.py:602(build_For)
        1    0.000    0.000    0.000    0.000 messages.py:1(<module>)
        3    0.000    0.000    0.000    0.000 missing.py:1(<module>)
      384    0.000    0.000    0.000    0.000 :0(is_iterator)
       11    0.000    0.000    0.000    0.000 _tensor.py:21(_handle_torch_function_and_wrap_type_error_to_not_implemented)
       50    0.000    0.000    0.000    0.000 functions.py:524(__init__)
        1    0.000    0.000    0.000    0.000 apply.py:1(<module>)
       21    0.000    0.000    0.000    0.000 inspect.py:2582(__str__)
      189    0.000    0.000    0.000    0.000 :0(_getframe)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:363(_get_scalar_type_map)
       21    0.000    0.000    0.000    0.000 mathimpl.py:139(unary_math_extern)
        3    0.000    0.000    0.000    0.000 typing.py:263(_tp_cache)
       70    0.000    0.000    0.000    0.000 indexing.py:2656(check_deprecated_indexers)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:374(<dictcomp>)
        1    0.000    0.000    0.000    0.000 package_importer.py:31(PackageImporter)
        1    0.000    0.000    0.000    0.000 memory.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transformer.py:16(Transformer)
       64    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
        1    0.000    0.000    0.000    0.000 common.py:280(_get_filepath_or_buffer)
      352    0.000    0.000    0.000    0.000 context.py:484(_remove_global)
        9    0.000    0.000    0.000    0.000 module.py:124(name)
        3    0.000    0.000    0.000    0.000 instructions.py:191(set_weights)
        1    0.000    0.000    0.000    0.000 backend_registry.py:53(register_backend)
       15    0.000    0.000    0.000    0.000 _script.py:1392(_get_overloads)
        1    0.000    0.000    0.000    0.000 rolling.py:918(Window)
       20    0.000    0.000    0.000    0.000 values.py:1071(__init__)
      158    0.000    0.000    0.000    0.000 inspect.py:237(istraceback)
        1    0.000    0.000    0.000    0.000 parquet.py:1(<module>)
       87    0.000    0.000    0.000    0.000 :0(_get_schema)
       20    0.000    0.000    0.000    0.000 generic.py:39(create_pandas_abc_type)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1568(_guarded_repr_or_str)
        6    0.000    0.000    0.000    0.000 funcdesc.py:87(lookup_module)
        1    0.000    0.000    0.000    0.000 listdecl.py:30(ListAttribute)
        1    0.000    0.000    0.000    0.000 stata.py:821(StataMissingValue)
        7    0.000    0.000    0.000    0.000 metadata.py:438(children)
       10    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
        8    0.000    0.000    0.000    0.000 plyparser.py:116(_create_param_rules)
        1    0.000    0.000    0.000    0.000 container.py:417(ParameterList)
        2    0.000    0.000    0.000    0.000 _strptime.py:80(__calc_weekday)
        1    0.000    0.000    0.000    0.000 codegen.py:1389(_customize_tm_features)
        2    0.000    0.000    0.000    0.000 _strptime.py:107(__calc_date_time)
        3    0.000    0.000    0.000    0.000 typing.py:267(decorator)
        1    0.000    0.000    0.000    0.000 package_exporter.py:45(_ModuleProviderAction)
        1    0.000    0.000    0.000    0.000 builtins.py:375(UnaryOp)
        1    0.000    0.000    0.000    0.000 codegen.py:1318(_get_host_cpu_features)
       29    0.000    0.000    0.000    0.000 mathimpl.py:123(unary_math_int_impl)
        1    0.000    0.000    0.000    0.000 codegen.py:1411(initialize_llvm)
        1    0.000    0.000    0.000    0.000 tz.py:1552(__call__)
      422    0.000    0.000    0.000    0.000 cast.py:1422(sanitize_to_nanoseconds)
      288    0.000    0.000    0.000    0.000 typing_extensions.py:140(<listcomp>)
        1    0.000    0.000    0.000    0.000 codegen.py:1419(get_host_cpu_features)
       62    0.000    0.000    0.000    0.000 imputils.py:42(_decorate_attr)
      100    0.000    0.000    0.000    0.000 serialization.py:983(__init__)
        1    0.000    0.000    0.000    0.000 literal.py:1(<module>)
       83    0.000    0.000    0.000    0.000 _utils.py:24(deduplicate)
      158    0.000    0.000    0.000    0.000 inspect.py:247(isframe)
        1    0.000    0.000    0.000    0.000 parfor_lowering_utils.py:1(<module>)
      192    0.000    0.000    0.000    0.000 common.py:352(apply_if_callable)
       26    0.000    0.000    0.000    0.000 :0(write)
      399    0.000    0.000    0.000    0.000 numerictypes.py:582(<listcomp>)
      408    0.000    0.000    0.000    0.000 deprecation.py:7(_deprecated)
      197    0.000    0.000    0.000    0.000 warnings.py:437(__init__)
        1    0.000    0.000    0.000    0.000 npydecl.py:437(register_number_classes)
        2    0.000    0.000    0.000    0.000 getlimits.py:490(_init)
       22    0.000    0.000    0.000    0.000 generic.py:5973(_consolidate_inplace)
        5    0.000    0.000    0.000    0.000 frontend.py:959(build_JoinedStr)
       86    0.000    0.000    0.000    0.000 os.py:754(encode)
        1    0.000    0.000    0.000    0.000 _ops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 series.py:5707(isna)
       95    0.000    0.000    0.000    0.000 configparser.py:1142(_unify_values)
       71    0.000    0.000    0.000    0.000 inference.py:298(is_named_tuple)
        1    0.000    0.000    0.000    0.000 ndarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 generic.py:7765(isna)
        1    0.000    0.000    0.000    0.000 quoprimime.py:5(<module>)
       53    0.000    0.000    0.000    0.000 weakref.py:165(__setitem__)
      435    0.000    0.000    0.000    0.000 base.py:575(_ensure_array)
        1    0.000    0.000    0.000    0.000 builtins.py:363(BitwiseInvert)
        8    0.000    0.000    0.000    0.000 inspect.py:1840(_signature_bound_method)
        1    0.000    0.000    0.000    0.000 datapipe.py:41(IterDataPipe)
        1    0.000    0.000    0.000    0.000 abstract.py:402(Literal)
      171    0.000    0.000    0.000    0.000 extending.py:200(_overload_method_common)
        7    0.000    0.000    0.000    0.000 tempfile.py:567(TemporaryFile)
       42    0.000    0.000    0.000    0.000 std.py:288(format_interval)
       18    0.000    0.000    0.000    0.000 builder.py:30(wrap)
        1    0.000    0.000    0.000    0.000 adam.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mathdecl.py:129(Math_frexp)
        1    0.000    0.000    0.000    0.000 range.py:66(RangeIndex)
      597    0.000    0.000    0.000    0.000 :0(_filters_mutated)
       92    0.000    0.000    0.000    0.000 :0(strftime)
        1    0.000    0.000    0.000    0.000 rnn.py:372(LSTM)
       20    0.000    0.000    0.000    0.000 config.py:844(is_one_of_factory)
      100    0.000    0.000    0.000    0.000 __init__.py:581(__init__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 upsampling.py:9(Upsample)
        1    0.000    0.000    0.000    0.000 _monitor.py:30(__init__)
       75    0.000    0.000    0.000    0.000 series.py:708(_values)
      250    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
       70    0.000    0.000    0.000    0.000 series.py:1267(_set_as_cached)
    22/21    0.000    0.000    0.000    0.000 values.py:455(_get_reference)
      303    0.000    0.000    0.000    0.000 :0(getrecursionlimit)
        1    0.000    0.000    0.000    0.000 fused.py:1(<module>)
      100    0.000    0.000    0.000    0.000 serialization.py:173(default_restore_location)
        2    0.000    0.000    0.000    0.000 iterators.py:1(<module>)
      153    0.000    0.000    0.000    0.000 :0(is_builtin)
        2    0.000    0.000    0.000    0.000 api.py:433(_get_cached_btype)
       86    0.000    0.000    0.000    0.000 contextlib.py:86(__init__)
       20    0.000    0.000    0.000    0.000 values.py:976(<genexpr>)
        1    0.000    0.000    0.000    0.000 profiler_util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _fuser.py:1(<module>)
        7    0.000    0.000    0.000    0.000 compiler_lock.py:31(__call__)
        1    0.000    0.000    0.000    0.000 tz.py:1590(nocache)
      606    0.000    0.000    0.000    0.000 generic.py:353(flags)
      175    0.000    0.000    0.000    0.000 target_extension.py:46(current_target)
       62    0.000    0.000    0.000    0.000 _jit_internal.py:897(is_optional)
      198    0.000    0.000    0.000    0.000 abstract.py:27(_on_type_disposal)
        1    0.000    0.000    0.000    0.000 value.py:8(Linkage)
       27    0.000    0.000    0.000    0.000 constraint_registry.py:106(<lambda>)
        1    0.000    0.000    0.000    0.000 targetconfig.py:1(<module>)
       88    0.000    0.000    0.000    0.000 six.py:146(__init__)
        1    0.000    0.000    0.000    0.000 sampler.py:18(Sampler)
        2    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       22    0.000    0.000    0.000    0.000 posixpath.py:150(dirname)
        1    0.000    0.000    0.000    0.000 tasks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adagrad.py:1(<module>)
       40    0.000    0.000    0.000    0.000 compiler_machinery.py:436(_does_pass_name_alias)
       83    0.000    0.000    0.000    0.000 overload_glue.py:267(add_no_defer)
        3    0.000    0.000    0.000    0.000 values.py:806(descr)
      100    0.000    0.000    0.000    0.000 serialization.py:1056(_is_torchscript_zip)
        1    0.000    0.000    0.000    0.000 _ir_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 period.py:79(PeriodIndex)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
      115    0.000    0.000    0.000    0.000 configparser.py:1362(__iter__)
        1    0.000    0.000    0.000    0.000 error.py:4(Mark)
        2    0.000    0.000    0.000    0.000 dropout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c_lexer.py:15(CLexer)
      598    0.000    0.000    0.000    0.000 common.py:27(_is_shutting_down)
      122    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
       12    0.000    0.000    0.000    0.000 values.py:1090(__str__)
        1    0.000    0.000    0.000    0.000 synchronize.py:186(__init__)
      302    0.000    0.000    0.000    0.000 :0(geterrobj)
        1    0.000    0.000    0.000    0.000 string_arrow.py:1(<module>)
        1    0.000    0.000    0.000    0.000 graphs.py:1(<module>)
       52    0.000    0.000    0.000    0.000 calendar.py:58(__getitem__)
        1    0.000    0.000    0.000    0.000 wishart.py:28(Wishart)
        1    0.000    0.000    0.000    0.000 weight_norm.py:1(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
        4    0.000    0.000    0.000    0.000 module.py:45(add_metadata)
       22    0.000    0.000    0.000    0.000 generic.py:5959(_protect_consolidate)
        1    0.000    0.000    0.000    0.000 resources.py:169(_path_from_reader)
       13    0.000    0.000    0.000    0.000 function.py:268(__init__)
        1    0.000    0.000    0.000    0.000 map.py:1(<module>)
        1    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
        1    0.000    0.000    0.000    0.000 callconv.py:424(check_try_status)
      122    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        1    0.000    0.000    0.000    0.000 graph.py:4(saved_tensors_hooks)
      122    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
        3    0.000    0.000    0.000    0.000 frontend.py:566(build_Raise)
      122    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
        1    0.000    0.000    0.000    0.000 stateless.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pooling.py:253(MaxUnpool1d)
        4    0.000    0.000    0.000    0.000 posixpath.py:373(abspath)
        9    0.000    0.000    0.000    0.000 _torch_docs.py:24(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _parser.py:569(__init__)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
       40    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
       18    0.000    0.000    0.000    0.000 abc.py:110(register)
        1    0.000    0.000    0.000    0.000 passmanagers.py:95(RefPruneSubpasses)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
       50    0.000    0.000    0.000    0.000 extending.py:573(is_jitted)
        1    0.000    0.000    0.000    0.000 grad_scaler.py:31(OptState)
       29    0.000    0.000    0.000    0.000 inspect.py:1233(formatannotation)
        1    0.000    0.000    0.000    0.000 object_file.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arraydecl.py:244(ArrayAttribute)
        1    0.000    0.000    0.000    0.000 _parser.py:294(__init__)
      100    0.000    0.000    0.000    0.000 _utils.py:159(_validate_loaded_sparse_tensors)
      6/2    0.000    0.000    0.000    0.000 model.py:56(get_cached_btype)
        1    0.000    0.000    0.000    0.000 trace_dependencies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 von_mises.py:1(<module>)
      192    0.000    0.000    0.000    0.000 :0(get_loc)
        1    0.000    0.000    0.000    0.000 pooling.py:322(MaxUnpool2d)
        6    0.000    0.000    0.000    0.000 funcdesc.py:117(llvm_cpython_wrapper_name)
        1    0.000    0.000    0.000    0.000 conv_relu.py:2(<module>)
       70    0.000    0.000    0.000    0.000 managers.py:2338(<listcomp>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
       89    0.000    0.000    0.000    0.000 configparser.py:644(sections)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       46    0.000    0.000    0.000    0.000 six.py:110(__init__)
       18    0.000    0.000    0.000    0.000 core.py:990(__init__)
       36    0.000    0.000    0.000    0.000 _sources.py:61(<listcomp>)
       24    0.000    0.000    0.000    0.000 re.py:325(_subx)
       22    0.000    0.000    0.000    0.000 targetconfig.py:110(make_prop)
        1    0.000    0.000    0.000    0.000 enumdecl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pooling.py:718(FractionalMaxPool2d)
       54    0.000    0.000    0.000    0.000 constraint_registry.py:87(register)
       71    0.000    0.000    0.000    0.000 dataclasses.py:1047(is_dataclass)
        1    0.000    0.000    0.000    0.000 transforms.py:264(ComposeTransform)
      140    0.000    0.000    0.000    0.000 common.py:151(cast_scalar_indexer)
      122    0.000    0.000    0.000    0.000 inspect.py:261(iscode)
       13    0.000    0.000    0.000    0.000 builder.py:159(wrap)
      200    0.000    0.000    0.000    0.000 :0(tell)
       11    0.000    0.000    0.000    0.000 __init__.py:10(partialclass)
        1    0.000    0.000    0.000    0.000 sql.py:1(<module>)
      168    0.000    0.000    0.000    0.000 expr.py:183(<genexpr>)
        1    0.000    0.000    0.000    0.000 imputils.py:300(RefType)
        1    0.000    0.000    0.000    0.000 pooling.py:405(MaxUnpool3d)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
      338    0.000    0.000    0.000    0.000 :0(add_docstring)
        1    0.000    0.000    0.000    0.000 nrtdynmod.py:27(_define_nrt_meminfo_data)
       88    0.000    0.000    0.000    0.000 templates.py:1303(<genexpr>)
      558    0.000    0.000    0.000    0.000 misc.py:117(key)
