
input frame records: 59990
embedding missing files:  0
total matches:  190
         1782792 function calls (1754950 primitive calls) in 6.108 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2171/2058    0.007    0.000    0.130    0.000 typing.py:271(inner)
   125/92    0.017    0.000    0.129    0.001 :0(exec_dynamic)
     1387    0.023    0.000    0.127    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        2    0.000    0.000    0.125    0.063 config.py:1(<module>)
     2512    0.039    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
  748/435    0.021    0.000    0.122    0.000 base.py:431(__new__)
 1130/141    0.049    0.000    0.121    0.001 sre_compile.py:87(_compile)
      192    0.002    0.000    0.120    0.001 construction.py:100(arrays_to_mgr)
        2    0.001    0.000    0.117    0.058 builtins.py:1(<module>)
        1    0.000    0.000    0.112    0.112 frame.py:1(<module>)
        1    0.000    0.000    0.111    0.111 rules.py:1(<module>)
        1    0.000    0.000    0.110    0.110 _jit_internal.py:1(<module>)
        1    0.000    0.000    0.109    0.109 rules.py:15(_init_casting_rules)
       44    0.000    0.000    0.108    0.002 castgraph.py:119(insert_rule)
       21    0.040    0.002    0.108    0.005 managers.py:1758(_interleave)
    10223    0.037    0.000    0.108    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     19/4    0.001    0.000    0.107    0.027 _script.py:1039(script)
       44    0.017    0.000    0.106    0.002 castgraph.py:92(propagate)
        1    0.001    0.001    0.103    0.103 arraymath.py:1(<module>)
        1    0.000    0.000    0.102    0.102 _decorators.py:1(<module>)
2057/2051    0.027    0.000    0.101    0.000 ffi.py:149(__call__)
     3037    0.005    0.000    0.096    0.000 tokenize.py:98(_compile)
        6    0.000    0.000    0.094    0.016 caching.py:638(_load_overload)
    16401    0.020    0.000    0.094    0.000 templates.py:1307(new_registrations)
    60097    0.062    0.000    0.094    0.000 posixpath.py:41(_get_sep)
        1    0.000    0.000    0.093    0.093 local.py:1(<module>)
      122    0.001    0.000    0.091    0.001 frame.py:3952(__setitem__)
      121    0.002    0.000    0.091    0.001 construction.py:423(dict_to_mgr)
       11    0.001    0.000    0.090    0.008 base.py:1(<module>)
     1256    0.011    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
  315/295    0.001    0.000    0.088    0.000 :0(sorted)
        6    0.000    0.000    0.087    0.014 caching.py:391(rebuild)
        6    0.000    0.000    0.087    0.014 compiler.py:224(_rebuild)
      122    0.001    0.000    0.086    0.001 frame.py:4161(_set_item)
     1448    0.009    0.000    0.084    0.000 base.py:355(install_registry)
     2637    0.006    0.000    0.082    0.000 <frozen importlib._bootstrap>:385(cached)
     10/4    0.011    0.001    0.082    0.021 :0(_jit_script_compile)
        1    0.000    0.000    0.082    0.082 arraymath.py:36(_check_blas)
        1    0.000    0.000    0.082    0.082 linalg.py:54(ensure_blas)
        6    0.000    0.000    0.082    0.014 codegen.py:1157(unserialize_library)
        6    0.000    0.000    0.082    0.014 codegen.py:925(_unserialize)
       10    0.000    0.000    0.081    0.008 frontend.py:219(get_jit_def)
      183    0.000    0.000    0.081    0.000 entrypoints.py:23(init_all)
        1    0.000    0.000    0.080    0.080 metadata.py:572(entry_points)
       90    0.001    0.000    0.080    0.001 metadata.py:577(<genexpr>)
     1213    0.017    0.000    0.080    0.000 construction.py:493(sanitize_array)
    96948    0.078    0.000    0.078    0.000 :0(startswith)
14904/14872    0.019    0.000    0.078    0.000 :0(next)
        1    0.000    0.000    0.078    0.078 request.py:1(<module>)
    15/11    0.000    0.000    0.077    0.007 _recursive.py:826(try_compile_fn)
     1381    0.008    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
       24    0.000    0.000    0.074    0.003 castgraph.py:131(unsafe)
      122    0.002    0.000    0.073    0.001 frame.py:4136(_set_item_mgr)
6591/3953    0.019    0.000    0.073    0.000 :0(implement_array_function)
        1    0.002    0.002    0.073    0.073 parallel.py:165(load_full_embeddings)
      896    0.008    0.000    0.071    0.000 extending.py:127(decorate)
27941/27743    0.033    0.000    0.070    0.000 :0(hasattr)
57496/53148    0.064    0.000    0.070    0.000 :0(len)
       71    0.001    0.000    0.070    0.001 construction.py:496(nested_data_to_arrays)
       71    0.001    0.000    0.067    0.001 construction.py:790(to_arrays)
        1    0.000    0.000    0.067    0.067 callconv.py:1(<module>)
      122    0.002    0.000    0.066    0.001 managers.py:1372(insert)
       13    0.000    0.000    0.066    0.005 codegen.py:1087(_load_defined_symbols)
      443    0.020    0.000    0.064    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.064    0.064 client.py:1(<module>)
       26    0.001    0.000    0.063    0.002 codegen.py:1091(<setcomp>)
        1    0.000    0.000    0.063    0.063 generic.py:2(<module>)
  338/255    0.001    0.000    0.063    0.000 typing.py:352(__getitem__)
       89    0.000    0.000    0.063    0.001 metadata.py:268(entry_points)
      195    0.003    0.000    0.062    0.000 base.py:709(_with_infer)
21693/21407    0.038    0.000    0.062    0.000 abstract.py:117(__hash__)
    59/57    0.000    0.000    0.061    0.001 __init__.py:109(import_module)
      618    0.011    0.000    0.061    0.000 typing.py:739(__init__)
    59/57    0.000    0.000    0.061    0.001 <frozen importlib._bootstrap>:1018(_gcd_import)
        1    0.000    0.000    0.061    0.061 quantize.py:2(<module>)
        1    0.000    0.000    0.060    0.060 charseq.py:1(<module>)
       50    0.001    0.000    0.060    0.001 dispatcher.py:807(__init__)
    10223    0.038    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
42917/42897    0.052    0.000    0.060    0.000 :0(getattr)
     2186    0.008    0.000    0.059    0.000 abc.py:105(__new__)
    39668    0.058    0.000    0.058    0.000 :0(append)
      357    0.058    0.000    0.058    0.000 :0(astype)
       42    0.000    0.000    0.058    0.001 blocks.py:1910(get_values)
      255    0.004    0.000    0.057    0.000 typing.py:434(Union)
    12670    0.026    0.000    0.057    0.000 utils.py:466(stream_list)
       61    0.018    0.000    0.056    0.001 enum.py:179(__new__)
  305/303    0.006    0.000    0.056    0.000 series.py:342(__init__)
     1698    0.005    0.000    0.055    0.000 :0(mean)
    64300    0.053    0.000    0.053    0.000 :0(fspath)
2035/2029    0.009    0.000    0.052    0.000 abstract.py:60(__call__)
       89    0.001    0.000    0.051    0.001 metadata.py:113(_from_text)
     8076    0.048    0.000    0.051    0.000 :0(__new__)
     1698    0.024    0.000    0.050    0.000 _methods.py:162(_mean)
